aircraft,chosen_route,delay,node_times
AC_A_1,route_arr_2a,0.0,"{'l5': 59.366861181820695, 'd1': 156.5591697710313, 'k2': 150.07968253183935, 'p7': 0.0, '17rf': 568.8540091798252, 'a3': 0.0, 'p5': 10631.814483695845, 'l4': 85.2848101389884, 'l2': 137.12070805329654, 'p2': 0.0, 'd5': 8046.815557062924, '17re': 39.9283994639693, 'l9': 0.0, 'l7': 0.0, 'l6': 0.0, 'p4': 20.4899377461697, 'p3': 0.0, 'a1': 0.0, 'k6': 15284.515314700519, 'p8': 0.0, 'p6': 0.0, 'l3': 111.2027590961543, 'l8': 0.0}"
AC_A_10,route_arr_1b,0.0,"{'l5': 0.0, 'd1': 0.0, 'k2': 0.0, 'p7': 0.0, '17rf': 934.1617335736082, 'a3': 0.0, 'p5': 914.7232718559837, 'l4': 0.0, 'l2': 0.0, 'p2': 830.4899377409129, 'd5': 973.0386569366838, '17re': 17071.84912901528, 'l9': 0.0, 'l7': 0.0, 'l6': 953.6001952912745, 'p4': 882.3258356596261, 'p3': 856.4078867031208, 'a1': 810.0, 'k6': 966.5591696973879, 'p8': 0.0, 'p6': 0.0, 'l3': 0.0, 'l8': 0.0}"
AC_A_2,route_arr_1b,0.0,"{'l5': 0.0, 'd1': 3511.2116969497947, 'k2': 0.0, 'p7': 0.0, '17rf': 214.1617335741812, 'a3': 0.0, 'p5': 194.72327185650033, 'l4': 0.0, 'l2': 0.0, 'p2': 110.48993774587858, 'd5': 253.03865700949495, '17re': 17447.197630272123, 'l9': 0.0, 'l7': 0.0, 'l6': 233.60019529193482, 'p4': 162.3258356600705, 'p3': 136.40788670294543, 'a1': 90.0, 'k6': 246.55916977043353, 'p8': 0.0, 'p6': 0.0, 'l3': 0.0, 'l8': 0.0}"
AC_A_3,route_arr_1b,0.0,"{'l5': 0.0, 'd1': 2495.7204334058624, 'k2': 0.0, 'p7': 0.0, '17rf': 304.16173357421417, 'a3': 0.0, 'p5': 284.72327185650533, 'l4': 0.0, 'l2': 0.0, 'p2': 200.48993774587845, 'd5': 343.0386570095668, '17re': 17711.97515666348, 'l9': 0.0, 'l7': 0.0, 'l6': 323.60019529196666, 'p4': 252.32583566007017, 'p3': 226.4078867029452, 'a1': 180.0, 'k6': 336.5591697704506, 'p8': 0.0, 'p6': 0.0, 'l3': 0.0, 'l8': 0.0}"
AC_A_4,route_arr_1b,0.0,"{'l5': 0.0, 'd1': 5542.194224037659, 'k2': 0.0, 'p7': 0.0, '17rf': 394.16173357415255, 'a3': 0.0, 'p5': 374.72327185644644, 'l4': 0.0, 'l2': 0.0, 'p2': 290.4899377458784, 'd5': 433.03865700954634, '17re': 16988.187157184453, 'l9': 0.0, 'l7': 0.0, 'l6': 413.6001952919021, 'p4': 342.32583566001205, 'p3': 316.4078867028871, 'a1': 270.0, 'k6': 426.5591697703985, 'p8': 0.0, 'p6': 0.0, 'l3': 0.0, 'l8': 0.0}"
AC_A_5,route_arr_1b,0.0,"{'l5': 0.0, 'd1': 2495.7204334058624, 'k2': 0.0, 'p7': 0.0, '17rf': 484.16173357421053, 'a3': 0.0, 'p5': 464.72327185650397, 'l4': 0.0, 'l2': 0.0, 'p2': 380.48993774587836, 'd5': 523.0386570094995, '17re': 17733.151627251715, 'l9': 0.0, 'l7': 0.0, 'l6': 503.6001952919605, 'p4': 432.3258356600695, 'p3': 406.40788670294495, 'a1': 360.0, 'k6': 516.5591697704401, 'p8': 0.0, 'p6': 0.0, 'l3': 0.0, 'l8': 0.0}"
AC_A_6,route_arr_1b,0.0,"{'l5': 0.0, 'd1': 2495.7204334058624, 'k2': 0.0, 'p7': 0.0, '17rf': 574.1617335740191, 'a3': 0.0, 'p5': 554.7232718564011, 'l4': 0.0, 'l2': 0.0, 'p2': 470.48993774587814, 'd5': 613.0386570091719, '17re': 17743.739862545834, 'l9': 0.0, 'l7': 0.0, 'l6': 593.6001952910688, 'p4': 522.3258356600692, 'p3': 496.4078867029922, 'a1': 450.0, 'k6': 606.559169770122, 'p8': 0.0, 'p6': 0.0, 'l3': 0.0, 'l8': 0.0}"
AC_A_7,route_arr_1b,0.0,"{'l5': 0.0, 'd1': 5580.290042582237, 'k2': 0.0, 'p7': 0.0, '17rf': 664.1617335742424, 'a3': 0.0, 'p5': 644.7232718565043, 'l4': 0.0, 'l2': 0.0, 'p2': 560.4899377458781, 'd5': 703.0386570096255, '17re': 16801.994638829958, 'l9': 0.0, 'l7': 0.0, 'l6': 683.6001952919953, 'p4': 612.3258356600692, 'p3': 586.4078867029447, 'a1': 540.0, 'k6': 696.5591697704797, 'p8': 0.0, 'p6': 0.0, 'l3': 0.0, 'l8': 0.0}"
AC_A_8,route_arr_1b,0.0,"{'l5': 0.0, 'd1': 1513.9711805728402, 'k2': 0.0, 'p7': 0.0, '17rf': 754.1617335742396, 'a3': 0.0, 'p5': 734.723271856504, 'l4': 0.0, 'l2': 0.0, 'p2': 650.4899377458781, 'd5': 793.0386570095479, '17re': 17764.916333134068, 'l9': 0.0, 'l7': 0.0, 'l6': 773.6001952919896, 'p4': 702.3258356600692, 'p3': 676.4078867029447, 'a1': 630.0, 'k6': 786.5591697704867, 'p8': 0.0, 'p6': 0.0, 'l3': 0.0, 'l8': 0.0}"
AC_A_9,route_arr_1b,0.0,"{'l5': 0.0, 'd1': 2530.5508960751904, 'k2': 0.0, 'p7': 0.0, '17rf': 844.1617335744259, 'a3': 0.0, 'p5': 824.7232718566795, 'l4': 0.0, 'l2': 0.0, 'p2': 740.4899377459762, 'd5': 883.038656874058, '17re': 17529.37154331562, 'l9': 0.0, 'l7': 0.0, 'l6': 863.6001952888591, 'p4': 792.3258356602145, 'p3': 766.4078867030901, 'a1': 720.0, 'k6': 876.5591696720821, 'p8': 0.0, 'p6': 0.0, 'l3': 0.0, 'l8': 0.0}"
