aircraft,chosen_route,delay,node_times
AC_A_1,route_arr_2a,0.0,"{'l5': 59.366861181823424, 'd1': 156.55916977100742, 'k2': 150.07968253183117, 'p7': 0.0, '17rf': 4025.0151848662754, 'a3': 0.0, 'p5': 10504.92378891218, 'l4': 85.28481013899295, 'l2': 137.1207080533029, 'p2': 90.0, 'd5': 11488.68699054823, '17re': 39.928399463969754, 'l9': 0.0, 'l7': 0.0, 'l6': 0.0, 'p4': 20.489937746169716, 'p3': 3023.6889267496554, 'a1': 23089.193422470646, 'k6': 15384.717015569891, 'p8': 0.0, 'p6': 0.0, 'l3': 111.20275909616066, 'l8': 0.0}"
AC_A_10,route_arr_1b,0.0,"{'l5': 0.0, 'd1': 0.0, 'k2': 0.0, 'p7': 0.0, '17rf': 934.1617335748119, 'a3': 810.0, 'p5': 914.7232718569508, 'l4': 0.0, 'l2': 0.0, 'p2': 830.4899377461343, 'd5': 973.0386570104927, '17re': 989.2333341091326, 'l9': 0.0, 'l7': 0.0, 'l6': 953.6001952926754, 'p4': 882.3258356604656, 'p3': 856.4078867032929, 'a1': 810.0, 'k6': 966.5591697712277, 'p8': 0.0, 'p6': 0.0, 'l3': 953.6001952926758, 'l8': 0.0}"
AC_A_2,route_arr_1b,0.0,"{'l5': 0.0, 'd1': 12421.21212121207, 'k2': 6179.691574084351, 'p7': 0.0, '17rf': 214.16173356920012, 'a3': 23291.31250279112, 'p5': 194.7232718557002, 'l4': 0.0, 'l2': 2087.2570945763655, 'p2': 110.48993774564575, 'd5': 253.03865700847064, '17re': 1423.5201885067436, 'l9': 0.0, 'l7': 0.0, 'l6': 233.60019528708767, 'p4': 162.3258356594909, 'p3': 136.40788670232877, 'a1': 90.0, 'k6': 246.55916976943786, 'p8': 0.0, 'p6': 0.0, 'l3': 0.0, 'l8': 0.0}"
AC_A_3,route_arr_1b,0.0,"{'l5': 0.0, 'd1': 11464.044445737156, 'k2': 5676.235966890417, 'p7': 0.0, '17rf': 304.16173357415573, 'a3': 22859.621890890754, 'p5': 284.72327185647555, 'l4': 0.0, 'l2': 1847.1782131135806, 'p2': 200.48993774587845, 'd5': 343.0386570095334, '17re': 1137.5058794683864, 'l9': 0.0, 'l7': 0.0, 'l6': 323.6001952919323, 'p4': 252.32583566004107, 'p3': 226.4078867029161, 'a1': 180.0, 'k6': 336.5591697704167, 'p8': 0.0, 'p6': 0.0, 'l3': 0.0, 'l8': 0.0}"
AC_A_4,route_arr_1b,0.0,"{'l5': 0.0, 'd1': 14508.951972743977, 'k2': 7186.60278847221, 'p7': 0.0, '17rf': 394.1617335741246, 'a3': 0.0, 'p5': 374.7232718564178, 'l4': 0.0, 'l2': 2567.4148575019426, 'p2': 290.4899377458784, 'd5': 433.03865700957317, '17re': 1995.5488065834616, 'l9': 0.0, 'l7': 0.0, 'l6': 413.60019529189844, 'p4': 342.32583565998294, 'p3': 316.407886702858, 'a1': 270.0, 'k6': 426.55916977039556, 'p8': 0.0, 'p6': 0.0, 'l3': 0.0, 'l8': 0.0}"
AC_A_5,route_arr_1b,0.0,"{'l5': 0.0, 'd1': 11464.044445737156, 'k2': 5676.235966890417, 'p7': 0.0, '17rf': 484.1617335709343, 'a3': 22833.556444596903, 'p5': 464.7232718564753, 'l4': 0.0, 'l2': 1847.1782131135806, 'p2': 380.4899377456745, 'd5': 523.0386569647526, '17re': 1137.5058794683864, 'l9': 0.0, 'l7': 0.0, 'l6': 503.6001952919555, 'p4': 432.3258356595746, 'p3': 406.4078867028579, 'a1': 360.0, 'k6': 516.5591697704076, 'p8': 0.0, 'p6': 0.0, 'l3': 0.0, 'l8': 0.0}"
AC_A_6,route_arr_1b,0.0,"{'l5': 0.0, 'd1': 11464.044445737156, 'k2': 5676.235966890417, 'p7': 0.0, '17rf': 574.1617335741175, 'a3': 22820.523721449877, 'p5': 554.7232718563858, 'l4': 0.0, 'l2': 1847.1782131135806, 'p2': 470.489937745891, 'd5': 613.03865700803, '17re': 1137.5058794683864, 'l9': 0.0, 'l7': 0.0, 'l6': 593.6001952919869, 'p4': 522.3258356600688, 'p3': 496.4078867028584, 'a1': 450.0, 'k6': 606.5591697687341, 'p8': 0.0, 'p6': 0.0, 'l3': 0.0, 'l8': 0.0}"
AC_A_7,route_arr_1b,0.0,"{'l5': 0.0, 'd1': 15523.92114841292, 'k2': 9555.816012963478, 'p7': 0.0, '17rf': 664.1617335729015, 'a3': 0.0, 'p5': 644.723271856364, 'l4': 0.0, 'l2': 2807.4937389647275, 'p2': 560.4899377459433, 'd5': 703.0386569943366, '17re': 2281.563115621815, 'l9': 0.0, 'l7': 0.0, 'l6': 683.6001952919037, 'p4': 612.32583566004, 'p3': 586.4078867027118, 'a1': 540.0, 'k6': 696.559169758315, 'p8': 0.0, 'p6': 0.0, 'l3': 0.0, 'l8': 0.0}"
AC_A_8,route_arr_1b,0.0,"{'l5': 0.0, 'd1': 11464.044445737156, 'k2': 5676.235966890417, 'p7': 0.0, '17rf': 754.161733572691, 'a3': 22794.458275155965, 'p5': 734.7232718562736, 'l4': 0.0, 'l2': 1847.1782131135806, 'p2': 650.4899377459933, 'd5': 793.0386570068076, '17re': 1137.5058794683864, 'l9': 0.0, 'l7': 0.0, 'l6': 773.6001952907591, 'p4': 702.3258356600396, 'p3': 676.4078867027978, 'a1': 630.0, 'k6': 786.5591697683703, 'p8': 0.0, 'p6': 0.0, 'l3': 0.0, 'l8': 0.0}"
AC_A_9,route_arr_1b,0.0,"{'l5': 0.0, 'd1': 12421.212121212071, 'k2': 6179.691574084351, 'p7': 0.0, '17rf': 844.161733574218, 'a3': 23186.78780601555, 'p5': 824.7232718564799, 'l4': 0.0, 'l2': 2087.2570945763655, 'p2': 740.489937745878, 'd5': 883.0386570095804, '17re': 1423.5201885067436, 'l9': 0.0, 'l7': 0.0, 'l6': 863.6001952919653, 'p4': 792.3258356600397, 'p3': 766.4078867029154, 'a1': 720.0, 'k6': 876.5591697704622, 'p8': 0.0, 'p6': 0.0, 'l3': 0.0, 'l8': 0.0}"
