aircraft,chosen_route,delay,node_times
AC_A_1,route_arr_2a,0.0,"{'l5': 74.20857647736557, 'd1': 195.69896221409726, 'k2': 187.59960316497018, 'p7': 0.0, '17rf': 0.0, 'a3': 0.0, 'p5': 0.0, 'l4': 106.60601267378661, 'l2': 171.400885066716, 'p2': 0.0, 'd5': 0.0, '17re': 49.91049933001341, 'l9': 0.0, 'l7': 0.0, 'l6': 0.0, 'p4': 25.612422182719456, 'p3': 14177.692202446895, 'a1': 24191.935706901073, 'k6': 0.0, 'p8': 0.0, 'p6': 0.0, 'l3': 139.00344887020765, 'l8': 0.0}"
AC_A_10,route_arr_1b,0.0,"{'l5': 0.0, 'd1': 0.0, 'k2': 0.0, 'p7': 0.0, '17rf': 968.0034488700912, 'a3': 0.0, 'p5': 940.9040898207031, 'l4': 0.0, 'l2': 0.0, 'p2': 835.6124221827195, 'd5': 1016.5996031648393, '17re': 968.0034488702515, 'l9': 0.0, 'l7': 0.0, 'l6': 992.301526017458, 'p4': 900.4072945751088, 'p3': 868.0098583792278, 'a1': 810.0, 'k6': 1008.5002441157121, 'p8': 0.0, 'p6': 0.0, 'l3': 0.0, 'l8': 0.0}"
AC_A_2,route_arr_2a,0.0,"{'l5': 314.58974478549095, 'd1': 436.08013052239727, 'k2': 427.9807714732702, 'p7': 0.0, '17rf': 290.2916676378448, 'a3': 90.0, 'p5': 0.0, 'l4': 346.9871809819993, 'l2': 411.782053375016, 'p2': 0.0, 'd5': 0.0, '17re': 290.29166763812424, 'l9': 0.0, 'l7': 0.0, 'l6': 0.0, 'p4': 180.0, 'p3': 14476.679696785257, 'a1': 24641.183188249153, 'k6': 0.0, 'p8': 0.0, 'p6': 0.0, 'l3': 379.38461717850765, 'l8': 0.0}"
AC_A_3,route_arr_2a,0.0,"{'l5': 331.13349493120955, 'd1': 452.6238806681159, 'k2': 444.5245216189888, 'p7': 0.0, '17rf': 290.2916676381241, 'a3': 180.0, 'p5': 0.0, 'l4': 363.5309311277179, 'l2': 428.3258035207346, 'p2': 0.0, 'd5': 0.0, '17re': 306.83541778384284, 'l9': 0.0, 'l7': 0.0, 'l6': 0.0, 'p4': 235.51679116825454, 'p3': 14199.450444205111, 'a1': 24154.037744709116, 'k6': 0.0, 'p8': 0.0, 'p6': 0.0, 'l3': 395.92836732422626, 'l8': 0.0}"
AC_A_4,route_arr_2a,0.0,"{'l5': 344.20857647740075, 'd1': 465.6989622143071, 'k2': 457.59960316518, 'p7': 0.0, '17rf': 290.2916676381242, 'a3': 270.0, 'p5': 0.0, 'l4': 376.6060126739091, 'l2': 441.4008850669258, 'p2': 0.0, 'd5': 0.0, '17re': 319.91049933003404, 'l9': 0.0, 'l7': 0.0, 'l6': 0.0, 'p4': 295.61242218271946, 'p3': 14876.598302776867, 'a1': 25583.448293585097, 'k6': 0.0, 'p8': 0.0, 'p6': 0.0, 'l3': 409.00344887041746, 'l8': 0.0}"
AC_A_5,route_arr_2a,0.0,"{'l5': 542.3015260176617, 'd1': 663.791911754568, 'k2': 655.6925527054409, 'p7': 0.0, '17rf': 518.003448870295, 'a3': 360.0, 'p5': 0.0, 'l4': 574.69896221417, 'l2': 639.4938346071867, 'p2': 0.0, 'd5': 0.0, '17re': 518.003448870295, 'l9': 0.0, 'l7': 0.0, 'l6': 0.0, 'p4': 450.0, 'p3': 14221.208685963415, 'a1': 24116.13978251713, 'k6': 0.0, 'p8': 0.0, 'p6': 0.0, 'l3': 607.0963984106784, 'l8': 0.0}"
AC_A_6,route_arr_2a,0.0,"{'l5': 551.368652533701, 'd1': 672.8590382706074, 'k2': 664.7596792214803, 'p7': 0.0, '17rf': 518.0034488702951, 'a3': 450.0, 'p5': 0.0, 'l4': 583.7660887302094, 'l2': 648.5609611232261, 'p2': 0.0, 'd5': 0.0, '17re': 527.0705753863343, 'l9': 0.0, 'l7': 0.0, 'l6': 0.0, 'p4': 475.61242218271946, 'p3': 14232.08780684264, 'a1': 24097.190801421122, 'k6': 0.0, 'p8': 0.0, 'p6': 0.0, 'l3': 616.1635249267177, 'l8': 0.0}"
AC_A_7,route_arr_2a,0.0,"{'l5': 749.4616020740845, 'd1': 870.9519878109908, 'k2': 862.8526287618637, 'p7': 0.0, '17rf': 725.1635249267274, 'a3': 540.0, 'p5': 0.0, 'l4': 781.8590382705928, 'l2': 846.6539106636095, 'p2': 0.0, 'd5': 0.0, '17re': 725.1635249267179, 'l9': 0.0, 'l7': 0.0, 'l6': 0.0, 'p4': 630.0, 'p3': 15034.489724249928, 'a1': 26022.316684301564, 'k6': 0.0, 'p8': 0.0, 'p6': 0.0, 'l3': 814.2564744671012, 'l8': 0.0}"
AC_A_8,route_arr_2a,0.0,"{'l5': 768.4943070594278, 'd1': 889.9846927963341, 'k2': 881.885333747207, 'p7': 0.0, '17rf': 725.1635249267274, 'a3': 630.0, 'p5': 0.0, 'l4': 800.8917432559361, 'l2': 865.6866156489529, 'p2': 0.0, 'd5': 0.0, '17re': 744.1962299120611, 'l9': 0.0, 'l7': 0.0, 'l6': 0.0, 'p4': 719.8981527646944, 'p3': 14253.846048601175, 'a1': 24059.292839229165, 'k6': 0.0, 'p8': 0.0, 'p6': 0.0, 'l3': 833.2891794524445, 'l8': 0.0}"
AC_A_9,route_arr_2a,0.0,"{'l5': 794.2085764774529, 'd1': 915.6989622143592, 'k2': 907.5996031652321, 'p7': 0.0, '17rf': 725.1635249267176, 'a3': 720.0, 'p5': 0.0, 'l4': 826.6060126739612, 'l2': 891.4008850669779, 'p2': 0.0, 'd5': 0.0, '17re': 769.9104993300862, 'l9': 0.0, 'l7': 0.0, 'l6': 0.0, 'p4': 745.6124221827195, 'p3': 14558.853609828686, 'a1': 24493.658192860807, 'k6': 0.0, 'p8': 0.0, 'p6': 0.0, 'l3': 859.0034488704696, 'l8': 0.0}"
AC_D_1,route_dep_1,0.0,"{'d3': 0.0, 'd4': 0.0, 'l5': 0.0, 'l4': 0.0, 'l2': 69.29807714730077, 'l1': 125.99359048873521, 'd1': 45.0, 'l3': 6509.998236555981, 'k2': 53.09935904906342, 'k4': 0.0, 'l6': 0.0, '17ra': 150.29166763610198, 'd5': 0.0, 'k6': 0.0, 'k5': 0.0}"
AC_D_10,route_dep_1,65.55857764383563,"{'d3': 0.0, 'd4': 0.0, 'l5': 0.0, 'l4': 0.0, 'l2': 944.8566547912187, 'l1': 1001.5521681351229, 'd1': 920.5585776438356, 'l3': 8863.832039704164, 'k2': 928.6579366929645, 'k4': 0.0, 'l6': 0.0, '17ra': 1053.3015260174575, 'd5': 0.0, 'k6': 0.0, 'k5': 0.0}"
