aircraft,chosen_route,delay,node_times
AC_A_1,route_arr_2a,0.0,"{'l5': 77.39743619298679, 'd1': 176.79269269091287, 'k2': 170.31320545189166, 'p7': 0.0, '17rf': 0.0, 'a3': 0.0, 'p5': 14985.955351227556, 'l4': 103.31538515017019, 'l2': 157.3542309734289, 'p2': 0.0, 'd5': 7661.5454489107215, '17re': 57.95897447509924, 'l9': 0.0, 'l7': 0.0, 'l6': 0.0, 'p4': 38.52051275721169, 'p3': 0.0, 'a1': 0.0, 'k6': 14273.520660045593, 'p8': 5777.068934949952, 'p6': 32528.580287813445, 'l3': 129.23333333333332, 'l8': 0.0}"
AC_A_10,route_arr_1b,0.0,"{'l5': 0.0, 'd1': 11023.365093886674, 'k2': 6525.546907484721, 'p7': 0.0, '17rf': 934.1617335740177, 'a3': 0.0, 'p5': 914.7232718562823, 'l4': 0.0, 'l2': 0.0, 'p2': 830.4899377457862, 'd5': 973.0386570094397, '17re': 1156.499741726681, 'l9': 0.0, 'l7': 0.0, 'l6': 953.6001952917841, 'p4': 882.3258356598787, 'p3': 856.4078867027683, 'a1': 810.0, 'k6': 966.5591697702473, 'p8': 0.0, 'p6': 36743.10551648086, 'l3': 0.0, 'l8': 0.0}"
AC_A_2,route_arr_1b,0.0,"{'l5': 0.0, 'd1': 9390.343606336475, 'k2': 4510.528589429396, 'p7': 29989.885156986707, '17rf': 214.16173357361004, 'a3': 0.0, 'p5': 194.72327185657332, 'l4': 0.0, 'l2': 0.0, 'p2': 110.48993774583495, 'd5': 253.03865700173884, '17re': 6962.23402837749, 'l9': 0.0, 'l7': 0.0, 'l6': 233.60019529137935, 'p4': 162.32583566020136, 'p3': 136.40788670263805, 'a1': 90.0, 'k6': 246.55916975743435, 'p8': 0.0, 'p6': 47682.11920534514, 'l3': 0.0, 'l8': 0.0}"
AC_A_3,route_arr_1b,0.0,"{'l5': 0.0, 'd1': 1128.652535175148, 'k2': 4420.571819306496, 'p7': 29992.501564754773, '17rf': 304.16173357492517, 'a3': 0.0, 'p5': 284.7232718570376, 'l4': 0.0, 'l2': 0.0, 'p2': 200.48993774616963, 'd5': 343.0386570106821, '17re': 17727.884487555737, 'l9': 0.0, 'l7': 0.0, 'l6': 323.6001952928086, 'p4': 252.32583566053654, 'p3': 226.40788670280148, 'a1': 180.0, 'k6': 336.55916977138986, 'p8': 0.0, 'p6': 47368.421052683625, 'l3': 0.0, 'l8': 0.0}"
AC_A_4,route_arr_1b,0.0,"{'l5': 0.0, 'd1': 2383.2724119755912, 'k2': 500.78459844685483, 'p7': 29982.912377586974, '17rf': 449.23333333333335, 'a3': 0.0, 'p5': 374.72327185640506, 'l4': 0.0, 'l2': 0.0, 'p2': 290.4899377458784, 'd5': 488.11025754398975, '17re': 17003.42426282775, 'l9': 0.0, 'l7': 0.0, 'l6': 468.67179582610845, 'p4': 342.3258356604049, 'p3': 316.4078867032671, 'a1': 270.0, 'k6': 481.63077030469503, 'p8': 0.0, 'p6': 48322.14765104663, 'l3': 0.0, 'l8': 0.0}"
AC_A_5,route_arr_1b,0.0,"{'l5': 0.0, 'd1': 8021.103955768605, 'k2': 4010.313720257367, 'p7': 29992.50156475484, '17rf': 484.16173357329717, 'a3': 0.0, 'p5': 464.7232718563633, 'l4': 0.0, 'l2': 0.0, 'p2': 380.48993774587814, 'd5': 523.0386569894738, '17re': 17749.060958143906, 'l9': 0.0, 'l7': 0.0, 'l6': 503.6001952886848, 'p4': 432.32583565998203, 'p3': 406.4078867026672, 'a1': 360.0, 'k6': 516.559169756878, 'p8': 0.0, 'p6': 47368.421052683625, 'l3': 0.0, 'l8': 0.0}"
AC_A_6,route_arr_1b,0.0,"{'l5': 0.0, 'd1': 8021.103955768605, 'k2': 4010.313720257367, 'p7': 29992.501564754868, '17rf': 574.1617335742101, 'a3': 0.0, 'p5': 554.7232718565034, 'l4': 0.0, 'l2': 0.0, 'p2': 470.48993774587814, 'd5': 613.0386570095252, '17re': 896.6228182935627, 'l9': 0.0, 'l7': 0.0, 'l6': 593.6001952849706, 'p4': 522.3258356600691, 'p3': 496.40788670294467, 'a1': 450.0, 'k6': 606.559169770466, 'p8': 0.0, 'p6': 47368.421052683705, 'l3': 0.0, 'l8': 0.0}"
AC_A_7,route_arr_1b,0.0,"{'l5': 0.0, 'd1': 11386.111111111111, 'k2': 0.0, 'p7': 29978.431633601977, '17rf': 664.1617335737246, 'a3': 0.0, 'p5': 644.7232718565048, 'l4': 0.0, 'l2': 17107.77201815834, 'p2': 560.4899377458125, 'd5': 703.0386569889513, '17re': 16817.020118005927, 'l9': 0.0, 'l7': 0.0, 'l6': 683.600195291945, 'p4': 612.3258356600692, 'p3': 586.4078867028535, 'a1': 540.0, 'k6': 696.5591697420841, 'p8': 0.0, 'p6': 48648.64864868586, 'l3': 50.43980037364963, 'l8': 0.0}"
AC_A_8,route_arr_1b,0.0,"{'l5': 17.853108459141115, 'd1': 0.0, 'k2': 9651.741397799537, 'p7': 29992.501564754715, '17rf': 764.6001952831766, 'a3': 0.0, 'p5': 735.5948723903279, 'l4': 0.0, 'l2': 9614.474536616926, 'p2': 650.4899377458781, 'd5': 803.4771187189456, '17re': 6815.40986631984, 'l9': 0.0, 'l7': 0.0, 'l6': 784.0386570010626, 'p4': 703.1974361938194, 'p3': 676.4078867029447, 'a1': 630.0, 'k6': 796.9976314796511, 'p8': 0.0, 'p6': 47368.421052683676, 'l3': 0.0, 'l8': 0.0}"
AC_A_9,route_arr_1b,0.0,"{'l5': 0.0, 'd1': 0.0, 'k2': 0.0, 'p7': 29989.885156986787, '17rf': 844.161733574224, 'a3': 0.0, 'p5': 824.7232718565158, 'l4': 0.0, 'l2': 0.0, 'p2': 740.489937745878, 'd5': 883.0386570095181, '17re': 17545.05030419488, 'l9': 0.0, 'l7': 0.0, 'l6': 863.6001952919921, 'p4': 792.325835660069, 'p3': 766.4078867029446, 'a1': 720.0, 'k6': 876.5591697704881, 'p8': 0.0, 'p6': 47682.11920534514, 'l3': 0.0, 'l8': 0.0}"
AC_D_1,route_dep_1,0.0,"{'d3': 0.0, 'd4': 0.0, 'l5': 0.0, 'l4': 0.0, 'l2': 64.43846171760708, 'l1': 109.79487239270713, 'd1': 45.0, 'l3': 4184.23548577756, 'k2': 51.479487239077116, 'k4': 0.0, 'l6': 18003.28690791473, '17ra': 129.23333333333332, 'd5': 17963.514384236627, 'k6': 9238.511317452232, 'k5': 0.0}"
AC_D_10,route_dep_1,14.366861180612545,"{'d3': 0.0, 'd4': 0.0, 'l5': 0.0, 'l4': 0.0, 'l2': 888.8053228982162, 'l1': 934.1617335733163, 'd1': 869.3668611806125, 'l3': 0.0, 'k2': 875.8463484196889, 'k4': 0.0, 'l6': 19805.106958301716, '17ra': 953.6001952912038, 'd5': 15448.563309145458, 'k6': 18376.79616833618, 'k5': 0.0}"
AC_D_2,route_dep_1,0.0,"{'d3': 0.0, 'd4': 0.0, 'l5': 0.0, 'l4': 0.0, 'l2': 154.43846171561609, 'l1': 199.7948723901045, 'd1': 135.0, 'l3': 3763.586016813497, 'k2': 141.47948810320688, 'k4': 0.0, 'l6': 13043.556619287807, '17ra': 233.60019529194471, 'd5': 17401.77290615857, 'k6': 12012.363716309359, 'k5': 0.0}"
AC_D_3,route_dep_1,0.0,"{'d3': 0.0, 'd4': 0.0, 'l5': 0.0, 'l4': 0.0, 'l2': 244.43846171477344, 'l1': 310.96173357405377, 'd1': 225.0, 'l3': 5050.4026706488885, 'k2': 231.4794872390769, 'k4': 0.0, 'l6': 11868.56178278675, '17ra': 330.4001952919413, 'd5': 17963.514384236627, 'k6': 9238.511317452232, 'k5': 0.0}"
AC_D_4,route_dep_1,0.0,"{'d3': 0.0, 'd4': 0.0, 'l5': 0.0, 'l4': 0.0, 'l2': 334.4384617161968, 'l1': 379.7948723906302, 'd1': 315.0, 'l3': 6865.538830736078, 'k2': 321.47948723907666, 'k4': 0.0, 'l6': 19805.106958301716, '17ra': 399.23333333333335, 'd5': 15448.563309145458, 'k6': 18376.79616833618, 'k5': 0.0}"
AC_D_5,route_dep_1,0.0,"{'d3': 0.0, 'd4': 0.0, 'l5': 0.0, 'l4': 0.0, 'l2': 451.96366600720125, 'l1': 497.32007668229005, 'd1': 405.0, 'l3': 0.0, 'k2': 439.00469152866935, 'k4': 0.0, 'l6': 18003.28690791473, '17ra': 519.1333333333333, 'd5': 17963.514384236627, 'k6': 9238.511317452232, 'k5': 0.0}"
